# ----------------------------------------
# Gorilla Gadgets
# User Explorer
# 20210801-20210906
# ----------------------------------------

Client Id,Sessions,Avg. Session Duration,Bounce Rate,Revenue,Transactions,Goal Conversion Rate
1875998664.1626118302,62,00:05:49,12.90%,$0.00,0,6.45%
1862997505.1628798197,60,00:07:51,35.00%,$0.00,0,18.33%
1918919960.1623695178,41,00:07:31,4.88%,$0.00,0,12.20%
1456576397.1629738868,27,00:04:46,37.04%,$0.00,0,14.81%
1212341269.1628871884,23,00:04:34,69.57%,$15.65,1,8.70%
385705300.1628641318,23,00:00:21,78.26%,$0.00,0,0.00%
794499342.1624905158,22,00:13:26,31.82%,$0.00,0,22.73%
1798261689.1628850417,20,00:02:29,80.00%,$47.72,2,15.00%
375352875.1630041471,20,00:03:45,70.00%,$0.00,0,10.00%
2123422759.1630249063,19,00:03:55,57.89%,$0.00,0,5.26%
778745234.1628281967,19,00:00:57,78.95%,$0.00,0,0.00%
1077875322.1628723649,18,00:04:44,50.00%,$0.00,0,16.67%
147509003.1626199106,17,00:05:18,17.65%,$0.00,0,0.00%
1867435955.1627762062,16,00:01:41,81.25%,$0.00,0,0.00%
898829764.1621622982,15,00:06:14,26.67%,$0.00,0,6.67%
1157674698.1628022911,13,00:00:00,100.00%,$0.00,0,0.00%
457148067.1628010372,13,00:04:52,53.85%,$0.00,0,23.08%
1245642537.1630205976,12,00:01:33,66.67%,$23.75,1,8.33%
1740464047.1630060172,12,00:04:25,58.33%,$18.74,1,0.00%
309694224.1628352101,12,00:00:20,66.67%,$0.00,0,0.00%
368894735.1628164603,12,00:02:21,91.67%,$0.00,0,0.00%
664373488.1627849818,12,00:01:30,33.33%,$12.16,1,8.33%
1189070436.1629462811,11,00:02:20,72.73%,$0.00,0,0.00%
1204189536.1630017703,11,00:02:23,81.82%,$0.00,0,0.00%
1219848872.1629245977,11,00:03:44,63.64%,$25.73,1,18.18%
128115761.1628652583,10,00:01:24,60.00%,$0.00,0,10.00%
1734370210.1628301303,10,00:00:59,80.00%,$13.65,1,20.00%
1839083165.1626398289,10,00:03:03,50.00%,$0.00,0,50.00%
1930018641.1630046762,10,00:00:56,90.00%,$0.00,0,10.00%
1980747843.1629064350,10,00:06:30,40.00%,$0.00,0,20.00%
1215368069.1628695652,9,00:00:00,100.00%,$0.00,0,0.00%
765930313.1628110610,9,00:01:41,44.44%,$23.65,1,11.11%
109560921.1628169906,8,00:00:00,100.00%,$0.00,0,0.00%
1224729415.1629123551,8,00:03:31,75.00%,$0.00,0,0.00%
1390982184.1627843858,8,00:00:00,100.00%,$0.00,0,0.00%
1569679015.1627675198,8,00:04:46,75.00%,$0.00,0,0.00%
1657151430.1623882210,8,00:00:00,100.00%,$0.00,0,0.00%
1684436245.1628069816,8,00:00:00,100.00%,$0.00,0,0.00%
171796326.1629607760,8,00:02:16,62.50%,$0.00,0,12.50%
1741200602.1629069713,8,00:03:57,62.50%,$0.00,0,12.50%
1783087250.1629222624,8,00:07:41,50.00%,$0.00,0,12.50%
2002918928.1629310416,8,00:03:32,37.50%,$0.00,0,12.50%
202060138.1628881668,8,00:02:10,87.50%,$0.00,0,0.00%
224387476.1628468699,8,00:00:00,100.00%,$0.00,0,0.00%
417088003.1586997458,8,00:00:58,75.00%,$0.00,0,0.00%
551204703.1627491965,8,00:00:20,87.50%,$0.00,0,0.00%
575510423.1628203943,8,00:00:18,75.00%,$0.00,0,0.00%
899780880.1629348494,8,00:00:06,87.50%,$0.00,0,0.00%
1420652407.1629424070,7,00:13:56,14.29%,$0.00,0,14.29%
1571455061.1630375935,7,00:00:00,100.00%,$0.00,0,0.00%
1821787115.1629304407,7,00:08:28,28.57%,$0.00,0,42.86%
259595501.1624905423,7,00:03:59,0.00%,$0.00,0,14.29%
303080788.1630362392,7,00:01:20,57.14%,$297.15,1,28.57%
311182554.1627342264,7,00:02:48,71.43%,$0.00,0,0.00%
521667900.1628035213,7,00:00:00,100.00%,$0.00,0,0.00%
522489398.1629251837,7,00:00:16,85.71%,$10.51,1,0.00%
549359550.1576662310,7,00:00:05,85.71%,$0.00,0,0.00%
753128646.1627963620,7,00:02:16,71.43%,$0.00,0,14.29%
835200186.1630531453,7,00:00:40,85.71%,$0.00,0,0.00%
956251855.1627972820,7,00:03:07,85.71%,$290.21,1,28.57%
1069045982.1629842801,6,00:00:50,50.00%,$19.65,1,33.33%
1087995629.1628291618,6,00:06:17,33.33%,$0.00,0,16.67%
1123425741.1629516915,6,00:01:23,33.33%,$19.74,1,33.33%
1183452727.1628259366,6,00:00:04,83.33%,$0.00,0,0.00%
119596453.1628088404,6,00:00:00,100.00%,$0.00,0,0.00%
1207020309.1629832922,6,00:00:03,83.33%,$0.00,0,0.00%
1267040070.1628735571,6,00:00:00,100.00%,$0.00,0,0.00%
1400639779.1627353147,6,00:00:36,66.67%,$0.00,0,0.00%
1504231032.1629132001,6,00:00:00,100.00%,$0.00,0,0.00%
1923830520.1628695566,6,00:00:00,100.00%,$0.00,0,0.00%
