# ----------------------------------------
# Gorilla Gadgets
# User Explorer
# 20210801-20210906
# ----------------------------------------

Client Id,Sessions,Avg. Session Duration,Bounce Rate,Revenue,Transactions,Goal Conversion Rate
1576494081.1628856388,1,00:00:00,100.00%,$0.00,0,0.00%
157654208.1629379994,1,00:00:00,100.00%,$0.00,0,0.00%
15766220.1628908945,1,00:00:00,100.00%,$0.00,0,0.00%
1577087271.1630782261,1,00:00:00,100.00%,$0.00,0,0.00%
1577528029.1629869837,1,00:05:38,0.00%,$0.00,0,0.00%
1577552024.1630887010,1,00:00:45,0.00%,$0.00,0,0.00%
1577846747.1629411697,1,00:00:00,100.00%,$0.00,0,0.00%
1577892716.1629268216,1,00:00:00,100.00%,$0.00,0,0.00%
1577962151.1629688659,1,00:00:49,0.00%,$0.00,0,0.00%
157805563.1629391675,1,00:00:00,100.00%,$0.00,0,0.00%
1578331638.1628723651,1,00:00:00,100.00%,$0.00,0,0.00%
1578333844.1628622508,1,00:00:00,100.00%,$0.00,0,0.00%
1578372175.1627953822,1,00:00:00,100.00%,$0.00,0,0.00%
1578662514.1628054573,1,00:00:00,100.00%,$0.00,0,0.00%
1578742381.1629251106,1,00:00:00,100.00%,$0.00,0,0.00%
1578756590.1628141396,1,00:00:00,100.00%,$0.00,0,0.00%
1578779013.1630338864,1,00:00:00,100.00%,$0.00,0,0.00%
1579062407.1630473324,1,00:00:00,100.00%,$0.00,0,0.00%
1579874006.1630136413,1,00:00:00,100.00%,$0.00,0,0.00%
1579923563.1630035340,1,00:00:00,100.00%,$0.00,0,0.00%
1580071868.1629981719,1,00:00:00,100.00%,$0.00,0,0.00%
1580081957.1629652066,1,00:00:00,100.00%,$0.00,0,0.00%
1580120738.1630778518,1,00:00:53,0.00%,$0.00,0,0.00%
1580195316.1628736222,1,00:00:00,100.00%,$0.00,0,0.00%
1580371878.1629396934,1,00:00:00,100.00%,$0.00,0,0.00%
1580380352.1629354431,1,00:00:00,100.00%,$0.00,0,0.00%
1580472635.1628502329,1,00:00:00,100.00%,$0.00,0,0.00%
1580597449.1628099185,1,00:00:00,100.00%,$0.00,0,0.00%
1580749461.1627866184,1,00:00:18,0.00%,$0.00,0,0.00%
158088493.1629566554,1,00:00:00,100.00%,$0.00,0,0.00%
1581261408.1628729160,1,00:00:00,100.00%,$0.00,0,0.00%
1581268731.1629227228,1,00:00:00,100.00%,$0.00,0,0.00%
1581398806.1628968603,1,00:00:00,100.00%,$0.00,0,0.00%
1581464719.1630750374,1,00:00:00,100.00%,$0.00,0,0.00%
1581480100.1629936942,1,00:00:00,100.00%,$0.00,0,0.00%
1581559927.1630624979,1,00:00:00,100.00%,$0.00,0,0.00%
1581614911.1629757843,1,00:00:00,100.00%,$0.00,0,0.00%
1582161651.1628466058,1,00:00:00,100.00%,$0.00,0,0.00%
1582295992.1628518081,1,00:00:00,100.00%,$0.00,0,0.00%
1582359380.1628851672,1,00:07:04,0.00%,$0.00,0,100.00%
1582719479.1630379573,1,00:00:00,100.00%,$0.00,0,0.00%
1582995572.1628676690,1,00:00:00,100.00%,$0.00,0,0.00%
1583170212.1630454186,1,00:00:12,0.00%,$0.00,0,0.00%
1583197830.1630035181,1,00:00:00,100.00%,$0.00,0,0.00%
1583434773.1630329289,1,00:00:00,100.00%,$0.00,0,0.00%
1583623775.1629596909,1,00:00:00,100.00%,$0.00,0,0.00%
1583642727.1630471876,1,00:00:18,0.00%,$0.00,0,0.00%
1583695020.1628449942,1,00:00:00,100.00%,$0.00,0,0.00%
1583734010.1627847438,1,00:00:00,100.00%,$0.00,0,0.00%
